<liquid:aerotheum>, Zephyrean Aerotheum
<liquid:ale>, Ale
<liquid:alewort>, Ale Wort
<liquid:alubrass>, Molten Aluminum Brass
<liquid:alugentum>, Molten Alugentum
<liquid:alumina>, Molten Alumina
<liquid:aluminum>, Molten Aluminum
<liquid:alumite>, Molten Alumite
<liquid:americium_241>, Molten Americium-241
<liquid:americium_241_fluoride>, Molten Americium-241 Fluoride
<liquid:americium_241_fluoride_flibe>, Molten FLiBe Salt Solution of Americium-241 Fluoride
<liquid:americium_242>, Molten Americium-242
<liquid:americium_242_fluoride>, Molten Americium-242 Fluoride
<liquid:americium_242_fluoride_flibe>, Molten FLiBe Salt Solution of Americium-242 Fluoride
<liquid:americium_243>, Molten Americium-243
<liquid:americium_243_fluoride>, Molten Americium-243 Fluoride
<liquid:americium_243_fluoride_flibe>, Molten FLiBe Salt Solution of Americium-243 Fluoride
<liquid:ammonia>, Ammonia
<liquid:animania_honey>, Honey
<liquid:applejuice>, Apple Juice
<liquid:ardite>, Molten Ardite
<liquid:arsenic>, Molten Arsenic
<liquid:astral_starmetal>, Molten Astral Starmetal
<liquid:astralsorcery.liquidstarlight>, Liquid Starlight
<liquid:bas>, Molten Boron Arsenide
<liquid:base_essence>, Molten Base Essence
<liquid:bef2>, Molten Beryllium Fluoride
<liquid:berkelium_247>, Molten Berkelium-247
<liquid:berkelium_247_fluoride>, Molten Berkelium-247 Fluoride
<liquid:berkelium_247_fluoride_flibe>, Molten FLiBe Salt Solution of Berkelium-247 Fluoride
<liquid:berkelium_248>, Molten Berkelium-248
<liquid:berkelium_248_fluoride>, Molten Berkelium-248 Fluoride
<liquid:berkelium_248_fluoride_flibe>, Molten FLiBe Salt Solution of Berkelium-248 Fluoride
<liquid:beryllium>, Molten Beryllium
<liquid:betterquesting.placeholder>, Placeholder
<liquid:bio.ethanol>, Ethanol
<liquid:biocrude>, Biocrude
<liquid:biodiesel>, Biodiesel
<liquid:biofuel>, Biofuel
<liquid:biomass>, Biomass
<liquid:blockfluidantimatter>, Liquid Antimatter
<liquid:blockfluiddirt>, Liquid Dirt
<liquid:blood>, Blood
<liquid:blueslime>, Liquid Blue Slime
<liquid:borax_solution>, Borax Solution
<liquid:boric_acid>, Boric Acid
<liquid:boron>, Molten Boron
<liquid:boron10>, Molten Boron-10
<liquid:boron11>, Molten Boron-11
<liquid:boron_nitride_solution>, Boron Nitride Solution
<liquid:brass>, Molten Brass
<liquid:brine>, Brine
<liquid:bronze>, Molten Bronze
<liquid:calcium_sulfate_solution>, Calcium Sulfate Solution
<liquid:californium_249>, Molten Californium-249
<liquid:californium_249_fluoride>, Molten Californium-249 Fluoride
<liquid:californium_249_fluoride_flibe>, Molten FLiBe Salt Solution of Californium-249 Fluoride
<liquid:californium_250>, Molten Californium-250
<liquid:californium_250_fluoride>, Molten Californium-250 Fluoride
<liquid:californium_250_fluoride_flibe>, Molten FLiBe Salt Solution of Californium-250 Fluoride
<liquid:californium_251>, Molten Californium-251
<liquid:californium_251_fluoride>, Molten Californium-251 Fluoride
<liquid:californium_251_fluoride_flibe>, Molten FLiBe Salt Solution of Californium-251 Fluoride
<liquid:californium_252>, Molten Californium-252
<liquid:californium_252_fluoride>, Molten Californium-252 Fluoride
<liquid:californium_252_fluoride_flibe>, Molten FLiBe Salt Solution of Californium-252 Fluoride
<liquid:canolaoil>, Canola Oil
<liquid:carbon_dioxide>, Carbon Dioxide
<liquid:carbon_monoxide>, Carbon Monoxide
<liquid:chocolate_liquor>, Chocolate Liquor
<liquid:cider>, Cider
<liquid:clay>, Molten Clay
<liquid:cloud_seed>, Cloud Seed
<liquid:cloud_seed_concentrated>, Concentrated Cloud Seed
<liquid:coal>, Liquifacted Coal
<liquid:cobalt>, Molten Cobalt
<liquid:cocoa_butter>, Cocoa Butter
<liquid:concrete>, Liquid Concrete
<liquid:condensate_water>, Condensate Water
<liquid:conductive_iron>, Molten Conductive Iron
<liquid:constantan>, Molten Constantan
<liquid:construction_alloy>, Molten Iron Alloy
<liquid:copper>, Molten Copper
<liquid:copper_nak>, Eutectic NaK-Copper Mixture
<liquid:copper_nak_hot>, Hot Eutectic NaK-Copper Mixture
<liquid:corium>, Corium
<liquid:creosote>, Creosote Oil
<liquid:crude_oil>, Crude Oil
<liquid:cryotheum>, Gelid Cryotheum
<liquid:cryotheum_nak>, Eutectic NaK-Cryotheum Mixture
<liquid:cryotheum_nak_hot>, Hot Eutectic NaK-Cryotheum Mixture
<liquid:crystaloil>, Crystallized Oil
<liquid:curium_243>, Molten Curium-243
<liquid:curium_243_fluoride>, Molten Curium-243 Fluoride
<liquid:curium_243_fluoride_flibe>, Molten FLiBe Salt Solution of Curium-243 Fluoride
<liquid:curium_245>, Molten Curium-245
<liquid:curium_245_fluoride>, Molten Curium-245 Fluoride
<liquid:curium_245_fluoride_flibe>, Molten FLiBe Salt Solution of Curium-245 Fluoride
<liquid:curium_246>, Molten Curium-246
<liquid:curium_246_fluoride>, Molten Curium-246 Fluoride
