+------------+------------------+-----------------+-----------------+------------------+-------------------------------------------------------------------+
|         ID | DimensionType ID | Name            | shouldLoadSpawn | Currently loaded | WorldProvider class                                               |
+------------+------------------+-----------------+-----------------+------------------+-------------------------------------------------------------------+
|          0 |                0 | overworld       |            true |             true | net.minecraft.world.WorldProviderSurface                          |
|          1 |                1 | the_end         |           false |            false | net.minecraft.world.WorldProviderEnd                              |
|         -1 |               -1 | Nether          |           false |            false | biomesoplenty.common.world.WorldProviderBOPHell                   |
|        144 |              144 | CompactMachines |           false |            false | org.dave.compactmachines3.world.WorldProviderMachines             |
|     -11325 |           -11325 | Deep Dark       |           false |            false | com.rwtema.extrautils2.dimensions.deep_dark.WorldProviderDeepDark |
| -343800852 |       -343800852 | Spectre         |            true |             true | lumien.randomthings.handler.spectre.SpectreWorldProvider          |
|         -8 |               -8 | Ratlantis       |           false |            false | com.github.alexthe666.rats.server.world.WorldProviderRatlantis    |
|         -2 |                3 | space           |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderSpace     |
|          2 |              -11 | Storage Cell    |            true |             true | appeng.spatial.StorageWorldProvider                               |
|          7 |                7 | twilight_forest |           false |            false | twilightforest.world.WorldProviderTwilightForest                  |
|        100 |                2 | planet          |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet    |
|        101 |                2 | planet          |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet    |
|        102 |                2 | planet          |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet    |
|        103 |                2 | planet          |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet    |
|        105 |                2 | planet          |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet    |
|        106 |                2 | planet          |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet    |
|        108 |                2 | planet          |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet    |
|        109 |                2 | planet          |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet    |
|        110 |                2 | planet          |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet    |
|        111 |                2 | planet          |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet    |
|        112 |                2 | planet          |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet    |
|        113 |                2 | planet          |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet    |
|        114 |                2 | planet          |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet    |
|        115 |                2 | planet          |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet    |
|        118 |                2 | planet          |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet    |
|        119 |                2 | planet          |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet    |
|        120 |                2 | planet          |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet    |
|        121 |                2 | planet          |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet    |
|        122 |                2 | planet          |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet    |
|        123 |                2 | planet          |           false |            false | zmaster587.advancedRocketry.world.provider.WorldProviderPlanet    |
+------------+------------------+-----------------+-----------------+------------------+-------------------------------------------------------------------+
|         ID | DimensionType ID | Name            | shouldLoadSpawn | Currently loaded | WorldProvider class                                               |
+------------+------------------+-----------------+-----------------+------------------+-------------------------------------------------------------------+
