+----------------------------------------+---------+-------------+-----------+------------+----------+-----------+----------------------------------------------------------+
| Name                                   | Density | Temperature | Viscosity | Luminosity | Rarity   | isGaseous | Block                                                    |
+----------------------------------------+---------+-------------+-----------+------------+----------+-----------+----------------------------------------------------------+
| aerotheum                              |    -800 |         300 |       100 |          0 | RARE     |      true | thermalfoundation:fluid_aerotheum                        |
| ale                                    |    1004 |         300 |      1016 |          0 | COMMON   |     false | -                                                        |
| alewort                                |    1004 |         300 |      2000 |          0 | COMMON   |     false | rustic:ale_wort                                          |
| alubrass                               |    2000 |         500 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_alubrass                               |
| alugentum                              |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_alugentum                             |
| alumina                                |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_alumina                               |
| aluminum                               |    2000 |         330 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_aluminum                               |
| alumite                                |    2000 |         890 |     10000 |         10 | UNCOMMON |     false | plustic:plustic.molten_alumite                           |
| amber                                  |    1200 |         300 |      1200 |          6 | COMMON   |     false | cyclicmagic:amber                                        |
| americium_241                          |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_americium_241                         |
| americium_241_fluoride                 |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_americium_241_fluoride                |
| americium_241_fluoride_flibe           |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_americium_241_fluoride_flibe          |
| americium_242                          |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_americium_242                         |
| americium_242_fluoride                 |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_americium_242_fluoride                |
| americium_242_fluoride_flibe           |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_americium_242_fluoride_flibe          |
| americium_243                          |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_americium_243                         |
| americium_243_fluoride                 |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_americium_243_fluoride                |
| americium_243_fluoride_flibe           |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_americium_243_fluoride_flibe          |
| ammonia                                |     -10 |         300 |        40 |          0 | COMMON   |      true | nuclearcraft:fluid_ammonia                               |
| animania_honey                         |    3000 |         300 |      7000 |          0 | COMMON   |     false | animania:honey                                           |
| applejuice                             |    1050 |         300 |      1100 |          0 | COMMON   |     false | rustic:apple_juice                                       |
| ardite                                 |    2000 |         860 |     10000 |         10 | RARE     |     false | tconstruct:molten_ardite                                 |
| arsenic                                |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_arsenic                               |
| astralsorcery.liquidstarlight          |    1001 |        3900 |       300 |         15 | EPIC     |     false | astralsorcery:fluidblockliquidstarlight                  |
| bas                                    |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_bas                                   |
| base_essence                           |    2000 |        1000 |     10000 |         10 | UNCOMMON |     false | mysticalagradditions:molten_base_essence                 |
| bef2                                   |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_bef2                                  |
| berkelium_247                          |    5000 |        1200 |      8000 |         10 | COMMON   |     false | nuclearcraft:fluid_berkelium_247                         |
