"Mod name","Registry name","Item ID","Meta/dmg","Subtypes","Display name","Hunger","Saturation","Ore Dict keys"
"Actually Additions","actuallyadditions:item_canola_seed",11916,0,"false","Canola Seeds",1,0.01,"seedCanola"
"Actually Additions","actuallyadditions:item_coffee",11900,0,"false","Cup with Coffee",8,5.0,""
"Actually Additions","actuallyadditions:item_coffee_beans",11914,0,"false","Coffee Beans",1,1.0,"cropCoffee"
"Actually Additions","actuallyadditions:item_food",11903,0,"true","Cheese",1,0.05,"foodCheese"
"Actually Additions","actuallyadditions:item_food",11903,1,"true","Pumpkin Stew",6,0.3,""
"Actually Additions","actuallyadditions:item_food",11903,2,"true","Carrot Juice",4,0.2,""
"Actually Additions","actuallyadditions:item_food",11903,3,"true","Fish 'N' Chips",14,0.65,""
"Actually Additions","actuallyadditions:item_food",11903,4,"true","French Fries",10,0.6,""
"Actually Additions","actuallyadditions:item_food",11903,5,"true","French Fry",2,0.025,""
"Actually Additions","actuallyadditions:item_food",11903,6,"true","Spaghetti",7,0.4,""
"Actually Additions","actuallyadditions:item_food",11903,7,"true","Noodle",1,0.01,""
"Actually Additions","actuallyadditions:item_food",11903,8,"true","Chocolate Cake",16,0.8,"foodCake"
"Actually Additions","actuallyadditions:item_food",11903,9,"true","Chocolate",3,0.3,""
"Actually Additions","actuallyadditions:item_food",11903,10,"true","Toast",3,0.08,"bread"
"Actually Additions","actuallyadditions:item_food",11903,11,"true","Submarine Sandwich",9,0.4,""
"Actually Additions","actuallyadditions:item_food",11903,12,"true","Big Cookie",4,0.25,""
"Actually Additions","actuallyadditions:item_food",11903,13,"true","Hamburger",13,0.65,""
"Actually Additions","actuallyadditions:item_food",11903,14,"true","Pizza",16,0.8,""
"Actually Additions","actuallyadditions:item_food",11903,15,"true","Baguette",6,0.5,"bread"
"Actually Additions","actuallyadditions:item_food",11903,16,"true","Rice",2,0.05,"cropRice"
"Actually Additions","actuallyadditions:item_food",11903,17,"true","Rice Bread",6,0.5,"bread"
