+----------------------+-------------------------------------------------+---------+----------+----------+-------------------------------------+--------+------------+----------------------------------------------------------------------------+
| *** WARNING ***                                                                                                                                                                                                                                 |
| The block and item IDs are dynamic and will be different on each world!                                                                                                                                                                         |
| DO NOT use them for anything "proper"!! (other than manual editing/fixing of raw world data or something)                                                                                                                                       |
| *** ALSO ***                                                                                                                                                                                                                                    |
| The server doesn't have a list of sub block and sub items                                                                                                                                                                                       |
| (= items with different damage value or blocks with different metadata).                                                                                                                                                                        |
| That is why the block and item list dumps only contain one entry per block/item class (separate ID) when run on a server.                                                                                                                       |
+----------------------+-------------------------------------------------+---------+----------+----------+-------------------------------------+--------+------------+----------------------------------------------------------------------------+
| Mod name             | Registry name                                   | Item ID | Meta/dmg | Subtypes | Display name                        | Hunger | Saturation | Ore Dict keys                                                              |
+----------------------+-------------------------------------------------+---------+----------+----------+-------------------------------------+--------+------------+----------------------------------------------------------------------------+
| Actually Additions   | actuallyadditions:item_canola_seed              |   10898 |        0 |    false | Canola Seeds                        |      1 |       0.01 | seedCanola                                                                 |
| Actually Additions   | actuallyadditions:item_coffee                   |   10882 |        0 |    false | Cup with Coffee                     |      8 |        5.0 |                                                                            |
| Actually Additions   | actuallyadditions:item_coffee_beans             |   10896 |        0 |    false | Coffee Beans                        |      1 |        1.0 | cropCoffee                                                                 |
| Actually Additions   | actuallyadditions:item_food                     |   10885 |        0 |     true | Cheese                              |      1 |       0.05 |                                                                            |
| Actually Additions   | actuallyadditions:item_food                     |   10885 |        1 |     true | Pumpkin Stew                        |      6 |        0.3 |                                                                            |
| Actually Additions   | actuallyadditions:item_food                     |   10885 |        2 |     true | Carrot Juice                        |      4 |        0.2 |                                                                            |
| Actually Additions   | actuallyadditions:item_food                     |   10885 |        3 |     true | Fish 'N' Chips                      |     14 |       0.65 |                                                                            |
| Actually Additions   | actuallyadditions:item_food                     |   10885 |        4 |     true | French Fries                        |     10 |        0.6 |                                                                            |
| Actually Additions   | actuallyadditions:item_food                     |   10885 |        5 |     true | French Fry                          |      2 |      0.025 |                                                                            |
| Actually Additions   | actuallyadditions:item_food                     |   10885 |        6 |     true | Spaghetti                           |      7 |        0.4 |                                                                            |
| Actually Additions   | actuallyadditions:item_food                     |   10885 |        7 |     true | Noodle                              |      1 |       0.01 |                                                                            |
| Actually Additions   | actuallyadditions:item_food                     |   10885 |        8 |     true | Chocolate Cake                      |     16 |        0.8 | foodCake                                                                   |
| Actually Additions   | actuallyadditions:item_food                     |   10885 |        9 |     true | Chocolate                           |      3 |        0.3 |                                                                            |
| Actually Additions   | actuallyadditions:item_food                     |   10885 |       10 |     true | Toast                               |      3 |       0.08 | bread                                                                      |
| Actually Additions   | actuallyadditions:item_food                     |   10885 |       11 |     true | Submarine Sandwich                  |      9 |        0.4 |                                                                            |
| Actually Additions   | actuallyadditions:item_food                     |   10885 |       12 |     true | Big Cookie                          |      4 |       0.25 |                                                                            |
| Actually Additions   | actuallyadditions:item_food                     |   10885 |       13 |     true | Hamburger                           |     13 |       0.65 |                                                                            |
| Actually Additions   | actuallyadditions:item_food                     |   10885 |       14 |     true | Pizza                               |     16 |        0.8 |                                                                            |
| Actually Additions   | actuallyadditions:item_food                     |   10885 |       15 |     true | Baguette                            |      6 |        0.5 | bread                                                                      |
| Actually Additions   | actuallyadditions:item_food                     |   10885 |       16 |     true | Rice                                |      2 |       0.05 | cropRice                                                                   |
