"OreDict Key","Registry name","Meta/dmg","Display name","NBT"
"actuator","nuclearcraft:part",9,"Linear Actuator",""
"alloyAdvanced","mekanism:enrichedalloy",0,"Enriched Alloy",""
"alloyBasic","minecraft:redstone",0,"Redstone",""
"alloyElite","mekanism:reinforcedalloy",0,"Reinforced Alloy",""
"alloyUltimate","mekanism:atomicalloy",0,"Atomic Alloy",""
"animaniaEggs","animania:brown_egg",0,"Egg",""
"animaniaEggs","animania:peacock_egg_blue",0,"Peafowl Egg",""
"animaniaEggs","animania:peacock_egg_white",0,"Peafowl Egg",""
"armorDragon","iceandfire:armor_blue_boots",0,"Dragon Scale Boots",""
"armorDragon","iceandfire:armor_blue_chestplate",0,"Dragon Scale Chestplate",""
"armorDragon","iceandfire:armor_blue_helmet",0,"Dragon Scale Helmet",""
"armorDragon","iceandfire:armor_blue_leggings",0,"Dragon Scale Leggings",""
"armorDragon","iceandfire:armor_bronze_boots",0,"Dragon Scale Boots",""
"armorDragon","iceandfire:armor_bronze_chestplate",0,"Dragon Scale Chestplate",""
"armorDragon","iceandfire:armor_bronze_helmet",0,"Dragon Scale Helmet",""
"armorDragon","iceandfire:armor_bronze_leggings",0,"Dragon Scale Leggings",""
"armorDragon","iceandfire:armor_gray_boots",0,"Dragon Scale Boots",""
"armorDragon","iceandfire:armor_gray_chestplate",0,"Dragon Scale Chestplate",""
"armorDragon","iceandfire:armor_gray_helmet",0,"Dragon Scale Helmet",""
"armorDragon","iceandfire:armor_gray_leggings",0,"Dragon Scale Leggings",""
"armorDragon","iceandfire:armor_green_boots",0,"Dragon Scale Boots",""
"armorDragon","iceandfire:armor_green_chestplate",0,"Dragon Scale Chestplate",""
"armorDragon","iceandfire:armor_green_helmet",0,"Dragon Scale Helmet",""
"armorDragon","iceandfire:armor_green_leggings",0,"Dragon Scale Leggings",""
"armorDragon","iceandfire:armor_red_boots",0,"Dragon Scale Boots",""
"armorDragon","iceandfire:armor_red_chestplate",0,"Dragon Scale Chestplate",""
"armorDragon","iceandfire:armor_red_helmet",0,"Dragon Scale Helmet",""
"armorDragon","iceandfire:armor_red_leggings",0,"Dragon Scale Leggings",""
"armorDragon","iceandfire:armor_sapphire_boots",0,"Dragon Scale Boots",""
"armorDragon","iceandfire:armor_sapphire_chestplate",0,"Dragon Scale Chestplate",""
"armorDragon","iceandfire:armor_sapphire_helmet",0,"Dragon Scale Helmet",""
"armorDragon","iceandfire:armor_sapphire_leggings",0,"Dragon Scale Leggings",""
"armorDragon","iceandfire:armor_silver_boots",0,"Dragon Scale Boots",""
"armorDragon","iceandfire:armor_silver_chestplate",0,"Dragon Scale Chestplate",""
"armorDragon","iceandfire:armor_silver_helmet",0,"Dragon Scale Helmet",""
"armorDragon","iceandfire:armor_silver_leggings",0,"Dragon Scale Leggings",""
"armorDragon","iceandfire:armor_white_boots",0,"Dragon Scale Boots",""
"armorDragon","iceandfire:armor_white_chestplate",0,"Dragon Scale Chestplate",""
"armorDragon","iceandfire:armor_white_helmet",0,"Dragon Scale Helmet",""
"armorDragon","iceandfire:armor_white_leggings",0,"Dragon Scale Leggings",""
"arrow","minecraft:arrow",0,"Arrow",""
"arrow","minecraft:spectral_arrow",0,"Spectral Arrow",""
"arrow","minecraft:tipped_arrow",0,"Uncraftable Tipped Arrow",""
"artisansGrimoire","artisanworktables:artisans_grimoire_aluminum",32767,"(WILDCARD)",""
"artisansGrimoire","artisanworktables:artisans_grimoire_bone",32767,"(WILDCARD)",""
"artisansGrimoire","artisanworktables:artisans_grimoire_boron",32767,"(WILDCARD)",""
"artisansGrimoire","artisanworktables:artisans_grimoire_boronnitride",32767,"(WILDCARD)",""
"artisansGrimoire","artisanworktables:artisans_grimoire_bronze",32767,"(WILDCARD)",""
"artisansGrimoire","artisanworktables:artisans_grimoire_constantan",32767,"(WILDCARD)",""
"artisansGrimoire","artisanworktables:artisans_grimoire_copper",32767,"(WILDCARD)",""
"artisansGrimoire","artisanworktables:artisans_grimoire_diamond",32767,"(WILDCARD)",""
"artisansGrimoire","artisanworktables:artisans_grimoire_electrum",32767,"(WILDCARD)",""
